timestamp,temp_dht,humidity,temp_bmp,pressure,button_state,led_red,led_yellow,led_green,command
2025-02-18 13:08:15,24.4,40.2,26.2,905.1,0,0,0,0,
2025-02-18 13:09:15,26.0,38.6,26.2,905.1,0,0,0,0,
2025-02-18 13:09:29,26.0,38.6,26.2,905.1,0,1,0,0,turn on red led
2025-02-18 13:10:15,26.1,38.4,26.3,905.1,0,1,0,0,
2025-02-18 13:10:49,26.0,38.7,26.3,905.1,0,0,0,0,"what is the humidity, temperature and pressure?"
2025-02-18 13:11:16,26.1,38.2,26.4,905.1,0,0,0,0,
2025-02-18 13:12:16,26.1,38.2,26.4,905.1,0,0,0,0,
2025-02-18 13:13:16,26.3,37.8,26.5,905.1,0,0,0,0,
2025-02-18 13:14:17,26.4,37.3,26.5,905.1,0,0,0,0,
2025-02-18 13:15:17,26.5,38.2,26.4,905.1,0,0,0,0,
2025-02-18 13:16:17,28.0,99.9,26.4,905.1,0,0,0,0,
2025-02-18 13:16:18,26.3,38.3,26.5,905.1,0,0,0,0,what was the average humidity in the last 10 minutes?
2025-02-18 13:17:18,29.2,46.3,26.4,905.0,0,0,0,0,
2025-02-18 13:18:18,28.2,38.0,26.4,905.1,0,0,0,0,
2025-02-18 13:19:18,27.6,37.9,26.5,905.0,0,0,0,0,
2025-02-18 13:20:19,27.2,37.8,26.5,905.0,0,0,0,0,
2025-02-18 13:20:48,27.2,37.8,26.5,905.0,0,0,0,0,what is the average temperature in the last 10 minutes?
2025-02-18 13:21:19,27.0,37.9,26.5,905.1,0,0,0,0,
2025-02-18 13:22:19,26.8,38.2,26.4,905.0,0,0,0,0,
2025-02-18 13:23:20,26.6,38.8,26.5,905.0,0,0,0,0,
2025-02-18 13:24:20,26.5,41.2,26.5,905.0,0,0,0,0,
2025-02-18 13:25:20,26.6,40.0,26.5,905.0,0,0,0,0,
2025-02-18 13:26:21,26.5,39.4,26.6,905.0,0,0,0,0,
2025-02-18 13:27:21,26.6,38.7,26.8,904.9,0,0,0,0,
2025-02-18 13:28:18,26.7,40.0,26.8,905.0,0,0,0,0,
2025-02-18 13:29:18,26.7,40.0,26.8,905.0,0,0,0,0,
2025-02-18 13:30:19,26.9,38.1,26.8,904.9,0,0,0,0,
2025-02-18 13:31:12,26.8,37.5,26.8,904.9,1,0,0,0,what is the button status?
2025-02-18 13:31:19,26.8,37.6,26.7,905.0,0,0,0,0,
2025-02-18 13:32:15,26.7,38.5,26.7,905.0,1,1,0,0,"if the button is pressed, turn on the red led"
2025-02-18 13:32:19,26.7,39.0,26.6,904.9,0,1,0,0,
2025-02-18 13:33:20,26.6,38.4,26.5,904.9,0,1,0,0,
2025-02-18 13:34:20,26.4,39.0,26.5,905.0,0,1,0,0,
2025-02-18 13:35:20,26.4,39.2,26.6,905.0,0,1,0,0,
2025-02-18 13:35:58,26.3,38.6,26.6,904.9,0,0,0,0,show the average humidity fo the last hour
2025-02-18 13:36:21,26.4,40.1,26.7,905.0,0,0,0,0,
2025-02-18 13:37:21,26.5,39.3,26.8,904.9,0,0,0,0,
2025-02-18 13:38:21,26.7,39.0,26.8,904.9,0,0,0,0,
2025-02-18 13:39:22,26.8,38.1,26.7,904.9,0,0,0,0,
2025-02-18 13:40:22,26.7,38.4,26.6,904.9,0,0,0,0,
2025-02-18 13:41:22,26.6,38.8,26.6,904.9,0,0,0,0,
2025-02-18 13:42:23,26.5,39.0,26.6,904.9,0,0,0,0,
2025-02-18 13:43:23,26.4,39.1,26.5,904.9,0,0,0,0,
2025-02-18 13:44:23,26.3,39.3,26.5,904.8,0,0,0,0,
2025-02-18 13:45:24,26.3,39.4,26.5,904.9,0,0,0,0,
2025-02-18 13:46:24,26.2,39.4,26.5,904.8,0,0,0,0,
2025-02-18 13:47:24,26.2,39.6,26.5,904.9,0,0,0,0,
2025-02-18 13:48:25,26.2,38.6,26.5,904.8,0,0,0,0,
2025-02-18 13:49:25,26.2,39.7,26.4,904.8,0,0,0,0,
2025-02-18 13:50:25,26.2,39.8,26.4,904.9,0,0,0,0,
2025-02-18 13:51:26,26.1,39.8,26.4,904.8,0,0,0,0,
2025-02-18 13:52:26,26.1,39.9,26.4,904.8,0,0,0,0,
2025-02-18 13:53:26,26.1,39.9,26.4,904.8,0,0,0,0,
2025-02-18 13:54:27,26.1,40.0,26.4,904.8,0,0,0,0,
2025-02-18 13:55:27,26.0,40.0,26.4,904.8,0,0,0,0,
2025-02-18 13:56:27,26.1,40.1,26.4,904.8,0,0,0,0,
2025-02-18 13:57:27,26.0,40.1,26.4,904.8,0,0,0,0,
2025-02-18 13:58:28,26.0,40.1,26.4,904.8,0,0,0,0,
2025-02-18 13:59:28,26.0,40.1,26.3,904.8,0,0,0,0,
2025-02-18 14:00:28,26.0,40.1,26.3,904.7,0,0,0,0,
2025-02-18 14:01:29,26.0,40.2,26.3,904.7,0,0,0,0,
2025-02-18 14:02:29,26.0,40.3,26.3,904.7,0,0,0,0,
2025-02-18 14:03:29,25.9,40.3,26.3,904.7,0,0,0,0,
